"$R1 [mm]","$R2 [mm]","$R3 [mm]","$R4 [mm]","Freq [GHz]","dB(St(1,1)) []"
0.76,1,1.75,2,14,-0.744073103218843
0.76,1,1.75,2,14.01,-0.755685914706392
0.76,1,1.75,2,14.02,-0.76760812308456
0.76,1,1.75,2,14.03,-0.779847082273951
0.76,1,1.75,2,14.04,-0.79241027543444
0.76,1,1.75,2,14.05,-0.805305311105254
0.76,1,1.75,2,14.06,-0.818539918579956
0.76,1,1.75,2,14.07,-0.832121942444418
0.76,1,1.75,2,14.08,-0.846059336200836
0.76,1,1.75,2,14.09,-0.860360154895344
0.76,1,1.75,2,14.1,-0.875032546661282
0.76,1,1.75,2,14.11,-0.890084743084358
0.76,1,1.75,2,14.12,-0.905525048289854
0.76,1,1.75,2,14.13,-0.921361826645995
0.76,1,1.75,2,14.14,-0.937603488971127
0.76,1,1.75,2,14.15,-0.954258477126215
0.76,1,1.75,2,14.16,-0.971335246867348
0.76,1,1.75,2,14.17,-0.988842248826876
0.76,1,1.75,2,14.18,-1.0067879074853
0.76,1,1.75,2,14.19,-1.02518059798975
0.76,1,1.75,2,14.2,-1.04402862066924
0.76,1,1.75,2,14.21,-1.06334017309111
0.76,1,1.75,2,14.22,-1.08312331949824
0.76,1,1.75,2,14.23,-1.10338595746232
0.76,1,1.75,2,14.24,-1.12413578158473
0.76,1,1.75,2,14.25,-1.14538024407468
0.76,1,1.75,2,14.26,-1.16712651203257
0.76,1,1.75,2,14.27,-1.18938142126751
0.76,1,1.75,2,14.28,-1.21215142647971
0.76,1,1.75,2,14.29,-1.23544254764348
0.76,1,1.75,2,14.3,-1.25926031243281
0.76,1,1.75,2,14.31,-1.283609694542
0.76,1,1.75,2,14.32,-1.30849504776665
0.76,1,1.75,2,14.33,-1.33392003572718
0.76,1,1.75,2,14.34,-1.35988755713851
0.76,1,1.75,2,14.35,-1.38639966655532
0.76,1,1.75,2,14.36,-1.41345749055376
0.76,1,1.75,2,14.37,-1.44106113934745
0.76,1,1.75,2,14.38,-1.46920961387941
0.76,1,1.75,2,14.39,-1.49790070848241
0.76,1,1.75,2,14.4,-1.52713090925785
0.76,1,1.75,2,14.41,-1.55689528839044
0.76,1,1.75,2,14.42,-1.58718739469031
0.76,1,1.75,2,14.43,-1.61799914073842
0.76,1,1.75,2,14.44,-1.64932068710434
0.76,1,1.75,2,14.45,-1.68114032420838
0.76,1,1.75,2,14.46,-1.71344435251186
0.76,1,1.75,2,14.47,-1.74621696184152
0.76,1,1.75,2,14.48,-1.77944011078385
0.76,1,1.75,2,14.49,-1.81309340722373
0.76,1,1.75,2,14.5,-1.84715399124718
0.76,1,1.75,2,14.51,-1.88159642177845
0.76,1,1.75,2,14.52,-1.91639256847629
0.76,1,1.75,2,14.53,-1.9515115105684
0.76,1,1.75,2,14.54,-1.98691944445658
0.76,1,1.75,2,14.55,-2.02257960207175
0.76,1,1.75,2,14.56,-2.05845218209461
0.76,1,1.75,2,14.57,-2.09449429627987
0.76,1,1.75,2,14.58,-2.13065993322316
0.76,1,1.75,2,14.59,-2.16689994198467
0.76,1,1.75,2,14.6,-2.20316203802541
0.76,1,1.75,2,14.61,-2.23939083391432
0.76,1,1.75,2,14.62,-2.27552789721999
0.76,1,1.75,2,14.63,-2.31151183790227
0.76,1,1.75,2,14.64,-2.34727842736143
0.76,1,1.75,2,14.65,-2.38276075107729
0.76,1,1.75,2,14.66,-2.41788939647619
0.76,1,1.75,2,14.67,-2.45259267729281
0.76,1,1.75,2,14.68,-2.48679689524805
0.76,1,1.75,2,14.69,-2.52042663934211
0.76,1,1.75,2,14.7,-2.55340512246671
0.76,1,1.75,2,14.71,-2.58565455437978
0.76,1,1.75,2,14.72,-2.61709654936735
0.76,1,1.75,2,14.73,-2.64765256615483
0.76,1,1.75,2,14.74,-2.67724437683955
0.76,1,1.75,2,14.75,-2.7057945608171
0.76,1,1.75,2,14.76,-2.7332270188896
0.76,1,1.75,2,14.77,-2.75946750199716
0.76,1,1.75,2,14.78,-2.78444414833345
0.76,1,1.75,2,14.79,-2.80808802201689
0.76,1,1.75,2,14.8,-2.83033364601919
0.76,1,1.75,2,14.81,-2.85111952172482
0.76,1,1.75,2,14.82,-2.8703886273324
0.76,1,1.75,2,14.83,-2.88808888732671
0.76,1,1.75,2,14.84,-2.90417360546003
0.76,1,1.75,2,14.85,-2.91860185408868
0.76,1,1.75,2,14.86,-2.93133881331053
0.76,1,1.75,2,14.87,-2.94235605413426
0.76,1,1.75,2,14.88,-2.95163176085854
0.76,1,1.75,2,14.89,-2.95915088892955
0.76,1,1.75,2,14.9,-2.96490525574151
0.76,1,1.75,2,14.91,-2.96889356311497
0.76,1,1.75,2,14.92,-2.97112135148957
0.76,1,1.75,2,14.93,-2.97160088716329
0.76,1,1.75,2,14.94,-2.97035098515558
0.76,1,1.75,2,14.95,-2.96739677143293
0.76,1,1.75,2,14.96,-2.96276938927562
0.76,1,1.75,2,14.97,-2.95650565545681
0.76,1,1.75,2,14.98,-2.94864767262836
0.76,1,1.75,2,14.99,-2.93924240484626
0.76,1,1.75,2,15,-2.92834122351724
0.76,1,1.75,2,15.01,-2.91599943120619
0.76,1,1.75,2,15.02,-2.90227577071999
0.76,1,1.75,2,15.03,-2.88723192669022
0.76,1,1.75,2,15.04,-2.87093202653384
0.76,1,1.75,2,15.05,-2.85344214719917
0.76,1,1.75,2,15.06,-2.83482983352886
0.76,1,1.75,2,15.07,-2.8151636334176
0.76,1,1.75,2,15.08,-2.79451265423667
0.76,1,1.75,2,15.09,-2.77294614426227
0.76,1,1.75,2,15.1,-2.75053310210531
0.76,1,1.75,2,15.11,-2.72734191641436
0.76,1,1.75,2,15.12,-2.70344003742981
0.76,1,1.75,2,15.13,-2.6788936813186
0.76,1,1.75,2,15.14,-2.65376756762566
0.76,1,1.75,2,15.15,-2.62812468964865
0.76,1,1.75,2,15.16,-2.60202611708034
0.76,1,1.75,2,15.17,-2.57553082987023
0.76,1,1.75,2,15.18,-2.54869558193285
0.76,1,1.75,2,15.19,-2.52157479307313
0.76,1,1.75,2,15.2,-2.49422046730453
0.76,1,1.75,2,15.21,-2.46668213559847
0.76,1,1.75,2,15.22,-2.43900682101947
0.76,1,1.75,2,15.23,-2.41123902416151
0.76,1,1.75,2,15.24,-2.38342072680214
0.76,1,1.75,2,15.25,-2.35559141172605
0.76,1,1.75,2,15.26,-2.32778809673179
0.76,1,1.75,2,15.27,-2.30004538091999
0.76,1,1.75,2,15.28,-2.27239550146243
0.76,1,1.75,2,15.29,-2.24486839916514
0.76,1,1.75,2,15.3,-2.21749179125983
0.76,1,1.75,2,15.31,-2.19029124998479
0.76,1,1.75,2,15.32,-2.1632902856435
0.76,1,1.75,2,15.33,-2.1365104329566
0.76,1,1.75,2,15.34,-2.10997133964666
0.76,1,1.75,2,15.35,-2.08369085631461
0.76,1,1.75,2,15.36,-2.05768512678033
0.76,1,1.75,2,15.37,-2.03196867816715
0.76,1,1.75,2,15.38,-2.00655451011007
0.76,1,1.75,2,15.39,-1.98145418255909
0.76,1,1.75,2,15.4,-1.95667790173508
0.76,1,1.75,2,15.41,-1.93223460387141
0.76,1,1.75,2,15.42,-1.90813203644486
0.76,1,1.75,2,15.43,-1.8843768366616
0.76,1,1.75,2,15.44,-1.86097460701954
0.76,1,1.75,2,15.45,-1.83792998781704
0.76,1,1.75,2,15.46,-1.81524672652168
0.76,1,1.75,2,15.47,-1.79292774394928
0.76,1,1.75,2,15.48,-1.77097519723636
0.76,1,1.75,2,15.49,-1.74939053961614
0.76,1,1.75,2,15.5,-1.72817457703191
0.76,1,1.75,2,15.51,-1.70732752164075
0.76,1,1.75,2,15.52,-1.68684904227665
0.76,1,1.75,2,15.53,-1.6667383119552
0.76,1,1.75,2,15.54,-1.64699405251178
0.76,1,1.75,2,15.55,-1.62761457647405
0.76,1,1.75,2,15.56,-1.60859782627403
0.76,1,1.75,2,15.57,-1.58994141091051
0.76,1,1.75,2,15.58,-1.57164264017378
0.76,1,1.75,2,15.59,-1.55369855654693
0.76,1,1.75,2,15.6,-1.53610596489707
0.76,1,1.75,2,15.61,-1.51886146006982
0.76,1,1.75,2,15.62,-1.50196145249815
0.76,1,1.75,2,15.63,-1.48540219193458
0.76,1,1.75,2,15.64,-1.46917978941322
0.76,1,1.75,2,15.65,-1.4532902375444
0.76,1,1.75,2,15.66,-1.43772942924172
0.76,1,1.75,2,15.67,-1.42249317497706
0.76,1,1.75,2,15.68,-1.40757721865581
0.76,1,1.75,2,15.69,-1.39297725219985
0.76,1,1.75,2,15.7,-1.37868892892262
0.76,1,1.75,2,15.71,-1.36470787577574
0.76,1,1.75,2,15.72,-1.35102970454325
0.76,1,1.75,2,15.73,-1.33765002205528
0.76,1,1.75,2,15.74,-1.32456443948901
0.76,1,1.75,2,15.75,-1.31176858082138
