iter	Passed	Remaining
0	2	2090
1	3	1862
2	5	1768
3	6	1717
4	8	1686
5	10	1669
6	11	1652
7	13	1639
8	14	1626
9	16	1614
10	17	1610
11	19	1603
12	21	1598
13	22	1589
14	24	1583
15	25	1577
16	27	1585
17	29	1593
18	30	1598
19	32	1600
20	34	1603
21	36	1604
22	37	1604
23	39	1604
24	41	1605
25	43	1611
26	44	1613
27	46	1612
28	48	1610
29	49	1612
30	51	1615
31	53	1611
32	55	1611
33	56	1611
34	58	1608
35	60	1610
36	61	1612
37	63	1613
38	65	1610
39	67	1610
40	68	1607
41	70	1607
42	72	1606
43	73	1607
44	75	1607
45	77	1606
46	79	1604
47	80	1604
48	82	1603
49	84	1601
50	85	1599
51	87	1597
52	89	1597
53	91	1596
54	92	1596
55	94	1596
56	96	1594
57	98	1593
58	99	1592
59	101	1591
60	103	1589
61	105	1588
62	106	1588
63	108	1586
64	110	1584
65	111	1581
66	113	1579
67	115	1577
68	116	1575
69	118	1572
70	120	1571
71	121	1569
72	123	1567
73	125	1564
74	126	1563
75	128	1561
76	130	1558
77	131	1557
78	133	1554
79	135	1563
80	138	1568
81	139	1566
82	141	1564
83	143	1561
84	144	1559
85	146	1557
86	148	1553
87	149	1551
88	151	1549
89	152	1546
90	154	1544
91	156	1542
92	157	1540
93	159	1537
94	161	1535
95	162	1532
96	164	1531
97	166	1529
98	167	1528
99	169	1527
100	171	1525
101	173	1524
102	174	1522
103	176	1519
104	178	1517
105	179	1515
106	181	1512
107	182	1510
108	184	1509
109	186	1507
110	187	1505
111	189	1503
112	191	1501
113	192	1499
114	194	1497
115	196	1495
116	197	1492
117	199	1490
118	201	1489
119	202	1488
120	204	1485
121	206	1483
122	207	1481
123	209	1479
124	211	1477
125	212	1475
126	214	1473
127	215	1471
128	217	1469
129	219	1467
130	220	1465
131	222	1463
132	224	1461
133	225	1459
134	227	1456
135	228	1454
136	230	1452
137	232	1450
138	233	1448
139	235	1446
140	237	1444
141	238	1442
142	240	1440
143	242	1439
144	243	1437
145	245	1435
146	247	1433
147	248	1432
148	250	1430
149	252	1428
150	253	1426
151	255	1424
152	256	1422
153	258	1420
154	260	1418
155	261	1416
156	263	1414
157	264	1412
158	266	1410
159	268	1408
160	270	1407
161	271	1405
162	273	1403
163	274	1401
164	276	1399
165	278	1397
166	279	1395
167	281	1395
168	283	1392
169	284	1390
170	286	1389
171	288	1386
172	289	1384
173	291	1382
174	292	1381
175	294	1379
176	296	1377
177	298	1376
178	299	1374
179	301	1372
180	302	1370
181	304	1368
182	306	1367
183	307	1365
184	309	1363
185	311	1361
186	312	1360
187	314	1358
188	316	1356
189	317	1354
190	319	1352
191	320	1350
192	322	1348
193	324	1346
194	325	1344
195	327	1343
196	329	1341
197	330	1339
198	332	1337
199	333	1335
200	335	1334
201	337	1332
202	338	1330
203	340	1328
204	342	1326
205	343	1325
206	345	1323
207	347	1321
208	348	1320
209	350	1318
210	352	1316
211	353	1314
212	355	1312
213	356	1310
214	358	1308
215	360	1307
216	361	1305
217	363	1303
218	364	1301
219	366	1299
220	368	1297
221	369	1295
222	371	1294
223	373	1292
224	374	1291
225	376	1289
226	378	1287
227	379	1285
228	381	1283
229	382	1281
230	384	1279
231	386	1278
232	388	1277
233	390	1277
234	392	1276
235	401	1301
236	403	1299
237	405	1297
238	406	1295
239	408	1293
240	409	1290
241	411	1288
242	412	1286
243	414	1283
244	415	1281
245	417	1279
246	418	1277
247	420	1274
248	421	1272
249	423	1270
250	424	1268
251	426	1266
252	428	1264
253	429	1262
254	431	1260
255	433	1258
256	434	1256
257	436	1254
258	437	1252
259	439	1250
260	441	1248
261	442	1246
262	444	1245
263	445	1243
264	447	1241
265	449	1239
266	450	1237
267	452	1235
268	454	1233
269	455	1232
270	457	1230
271	459	1228
272	460	1226
273	462	1224
274	463	1223
275	465	1221
276	467	1219
277	468	1217
278	470	1215
279	472	1213
280	473	1211
281	475	1210
282	476	1208
283	478	1206
284	480	1205
285	482	1203
286	483	1202
287	485	1200
288	487	1198
289	488	1197
290	490	1195
291	492	1193
292	494	1192
293	495	1190
294	497	1188
295	498	1186
296	500	1184
297	502	1182
298	503	1181
299	505	1179
300	507	1177
301	508	1176
302	510	1174
303	512	1172
304	513	1170
305	515	1168
306	517	1167
307	518	1165
308	520	1163
309	522	1162
310	524	1161
311	526	1160
312	527	1158
313	529	1156
314	530	1154
315	532	1152
316	534	1150
317	535	1148
318	537	1147
319	539	1145
320	540	1143
321	542	1141
322	543	1139
323	545	1138
324	547	1136
325	548	1134
326	550	1132
327	552	1131
